movie_name,year,genre,description
Flames of Blood,1981,"Action, Crime","The story of a drunken fighter (Sugawara) and an ailing, blind singer (Baisho) amid the power struggle between the Shogunate government and the Emperor in mid-19th century Japan."
Starview HCT-5808,1984,Sci-Fi,A slide show of sci-fi space illustrations composed of slow dissolves and an equally futuristic and space-y music.
Minchina Oata,1980,"Adventure, Crime","Two small-time thieves hatch a plan to get rich. They hire an automobile mechanic, with financial troubles, to help them in stealing cars."
Hohnbeer - Das Geheimnis der Westeregge,2021,Adventure,"Nico comes to Heide to study historical buildings. He meets the pretty city guide Heidi. During research in history, both discover clues to a hidden gold treasure, but draw the attention of a secret society, named ""Westeregge""."
The Fixer,2017,Action,A defiant cop must infiltrate a Colombian drug cartel and track down its bosses by being a vice agent known as 'The Fixer'.
Wolves,2016,"Comedy, Drama, Family",Anthony hopes his basketball skills will get him into Cornell after high school. His only obstacle is his dad's gambling.
Thai Police Story,1986,"Action, Crime, Drama",Panna Rittikrai stars as a man caught between corrupt police officers and vicious drug gangs.
Madham,2020,Crime,"A hot blooded gangster and his friends embark on a crime filled path to appease their thirst for wealth. On their crime littered journey, they face unexpected twists and events along the way makes them discover their true hidden selves."
The Love Is Forever,2015,Romance,"The Love is Forever is a 2015 Indian romantic movie directed by Honey Vee starring Manoj Verma, Rana Jung Bahadur, Manoj Pandit, Manpreet Singh and Sonia Bindra, Viraat Attri as lead characters."
Car 24,2023,"Action, Crime, Drama",Two hit men who don't know each other end up trapped in a car for 24 hours parked in a Los Angeles street awaiting orders to kill a target. Both men will undergo a conscience check as well as human existence conflicts.
Provincetown: Out Of Hibernation,2023,"Drama, Romance",LGTBQ romantic love story set in the reality of Bear Week in Provincetown. Shot in the magical setting of summer in Cape Cod.
Bangkok Dark Tales,2019,Horror,Three Horror stories with Bangkok as background.
S.P.Q.R. 2000 e 1/2 anni fa,1994,"Comedy, Fantasy","A comedy based on the Ancient Rome with Christian De Sica, Massimo Boldi and Leslie Nielsen."
Bride of the Gorilla,1951,"Adventure, Horror","The owner of a plantation in the jungle marries a beautiful woman. Shortly afterward, he is plagued by a strange voodoo curse which transforms him into a gorilla."
"O Thanasis, i Ioulietta kai ta loukanika",1970,"Comedy, Romance","Mad in love with a kind woman, a tireless locksmith has to deal with her rough three brothers and her butcher father, who want to marry her off to a sausage retailer. Will he summon up the courage to save his charming damsel in distress?"
Hafenmelodie,1949,Crime,A gang of thieves plans to hit of a warehouse filled with precious stuff.
Savaitgalis pragare,1987,"Adventure, Drama, War",It is the summer of 1944 and two prisoners of war - a Lithuanian teacher and a Russian Navy officer - make an impulsive escape attempt and end up on a Baltic seaside resort for SS officers.
Madame Edouard,2004,"Comedy, Crime","In Brussels, the corpses of young women were discovered buried behind the graves of collectors of paintings. Each of them lacks the right forearm."
Derelicts,2017,Horror,A strained suburban family's Thanksgiving is disrupted by a gang of vicious vagrants.
Erased at age 17,2015,Thriller,A 17 year old couple loses their will to live after their world falls apart.
Ecce Homo: Storia del passaggio di una sacra reliquia nel borgo degli Orci,2020,History,"Italy, 1536 d.C. Carlo II of Savoia, lord of Turin, has lost the war against Francesco I, king of France. He escape in a city far from home, Mantova - but during the trip, he arrives in a little town named Orci Novi."
The Lightning Warrior,1931,"Family, Western","A Rin-Tin-Tin serial presented in 12 episodes. The mysterious Wolf Man is terrorizing settlers in a western town. With the help of Rinty, young Jimmy Carter unmasks the Wolf Man and foils his evil plot."
Ex Cathedra,2009,"Drama, Thriller","As Kevin's life starts to crumble around him a new one opens up before him full of exotic drugs, double dealings, mysterious girls and fallen angels."
Drii Winter,2022,"Drama, Romance","In a remote mountain village, Anna tries to preserve her young love for Marco, against all odds."
Gehraiyaan,2022,"Drama, Romance",Takes you on a journey into the deep rooted intricacies of modern human relationships.
Man in the Mirror,2008,Action,"A group of people, living on the edge of society, try to survive on the streets of New York City in the shadow of the World Trade center in the early seventies."
Chunhyang,2000,"Drama, Musical, Romance","A governor's son falls in love and marries a beautiful girl, the daughter of a courtesan. Their marriage is kept a secret from the governor who would immediately disown him if he found that his son married beneath him."
Daredevil Jack,1920,"Action, Adventure, Mystery","Jack Derry accidentally becomes involved in a mystery surrounding Glory Billings, when fate makes him her rescuer in a kidnapping episode."
No Place for a Lady,1943,"Comedy, Crime, Drama",Private detective Jess Arno and his real estate agent fiance June try to solve the murder when a tire magnate's body is found at a beach house.
Louise and Her Lover,2011,"Crime, Romance, Thriller",A lesbian wanna-be model falls dangerously in love with an up and coming painter. The relationship goes too far too fast and the lines between art and sex get blurred.
The Bloodsucker Leads the Dance,1975,"Horror, Mystery","Gothic lesbians prowl the corridors of a miserable little castle in Italy and fall prey to a deranged count with resplendent canine gnashers, a ghostly white complexion and the personality of Atilla the Hun."
The Artist,2011,"Comedy, Drama, Romance",An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.
File 25,2010,"Crime, Drama, Romance",Jamie is accused of a murder by society it's only a matter of time until Rosie can't take anymore of Jamie's excuses.
Nachtwacht: De dag van de bloedmaan,2021,Fantasy,"Vlad, Keelin and Wilko find themselves in the world of werewolves. Here Wilko's father, Lupino, has united the wild werewolf clans in peace. Together with Wilko's sister Rhea, he wants to lead the werewolves into the modern age."
Nella notte,2004,Horror,A Russian female vampire is on a mission of revenge in Rome's criminal underworld.
Wigan Athletic Season Review 2007-2008,2008,Sport,A review of Wigan's 2007/2008 season.
Locked Down,2021,"Comedy, Crime, Romance","A couple attempts a high-risk, high-stakes jewelry heist at a department store."
Aqwa Al Rejal,1993,"Action, Drama",Zaki is a simple poor man living with his little family. He got arrested by mistake for looking like a very dangerous criminal called Al Wahsh (The Beast). People started to fear and kneel for him while he's looking for the real Al Wahsh
Tía Madré,2019,Horror,"Tia Madre is a horror film told by a hyper-imaginative 10-year old girl named Camille, whose mother transforms into something more sinister, violent, distant, and possibly not human."
Bloodstained Romance 2,2010,Horror,Audrey is a high school girl who is used to getting what she wants. That is until a new substitute teacher shows up at her school. If she can't have him... No one can.
Rose of Washington Square,1939,"Drama, Musical, Romance","A singer becomes a star in the Ziegfeld Follies, but her marriage to a con man has a bad effect on her career."
The Last Supper,2014,"Adventure, Mystery, Thriller",Three friends in quest for a documentary production in a haunted jungle as part of a 'Adventure Competition'.
Fearless Faith,2020,"Drama, Family","Colton, a respected sheriff's deputy, begins to question his faith in the shadow of his gunned down partner/ best friend. A grateful pastor helps to restore his fearless faith."
Until They Sail,1957,"Drama, Romance, War","During WWII, husbandless New Zealand women meet and marry American soldiers who are fighting in the Pacific theater."
Married to the Mob,1988,"Comedy, Crime, Romance","A mobster's wife hates her lifestyle, but gets a chance to change it when her husband is killed - if the Long Island mob and the FBI let her."
Ferocious,2013,Thriller,"Leigh Parrish, a likeable, small-town girl, now famous actress, takes increasingly drastic steps to protect her fame."
Ellos eatnu - La elva leve,2023,"Drama, History","Ester hides her identity to avoid being exposed to racism. When Ester suddenly finds herself in the middle of demonstrations against a big dam development in Alta, a personal journey out of the shame she has carried so long begins."
I Am Corn Puffians: Ghost Camera,2022,"Drama, History","Through the entanglement of home videos, archival footage, and cinéma vérité, I Am Corn Puffians: Ghost Camera seizes 116 years of Toronto history to tell the tale of a documentarian's descent into artistic madness."
Out to Sea,1997,"Comedy, Romance","A failed gambler, intent on meeting a rich widow, tricks his widowed brother-in-law into boarding a cruise ship as dance hosts."
Iyo ang Tondo kanya ang Cavite,1986,"Action, Drama",TWO ACTION GIANTS OF LOCAL TEAM-UP TO DRAMATIZE TERRITORAL IMPERATIVES AMONG LOCAL KINGPINS.
Volta,2004,"Action, Adventure, Comedy",A female superhero born with a curse to save the world.
Hot Wings,2013,"Crime, Drama, Thriller","Local criminals are earning their own piece of the pie in 2012, organ trafficking from the East End of London. When a returning son uncovers the theft of his Dad's heart, there is all hell to pay."
Andy the Talking Hedgehog,2018,Family,"After a girl's wish for all animals to have the ability to speak comes true, local robbers try to capture her talking hedgehog."
Virality,2017,"Crime, Drama","A bitcoin heist connects four stories, each involving characters dealing with viral and social phenomena of a developing society."
Single and Ready to Jingle,2022,"Comedy, Family, Romance","Emma Warner, as a SVP of a toy company, spends 12 months a year focusing on Christmas, leaving no time for dating. This year, she plans a trip to a tropical singles resort, but a booking mistake takes her to a Christmas obsessed town."
The Big Easy,1986,"Comedy, Crime, Drama",A corrupt lieutenant in the homicide division is threatened by the righteous DA while trying to solve a string of mysterious murders.
Bound,2015,"Drama, Thriller","The daughter of a wealthy real estate broker falls in love with a younger man, who introduces her to B&D and S&M. Using her newly awakened sexual prowess, she finally takes charge of her own life."
Side by Side,2013,"Drama, Family","Side by Side explores, with refreshing honesty, the unique bond between a brother and a sister. Facing the rest of their childhood apart, they runaway in search of the only person who can keep their family together."
"Sanjûsangen-dô, tôshiya monogatari",1945,War,"Tale of martial skill set in the Edo era, and completed with difficulty during the last months of WWII: the son of an archer ,who killed himself after losing a contest, takes up his father's former profession."
Wu hu jiang,1985,Family,A woman coach inspires a teenage table tennis team.
Quid,2020,Crime,Michele Ferretti is a small underworld boss in the Roman suburbs who must manage his uncle's empire as long as he is segregated under house arrest.
"The Prize Winner of Defiance, Ohio",2005,"Biography, Drama","In order to support her ten children, Evelyn Ryan enters a commercial jingle-writing contest."
A Colt Is My Passport,1967,"Action, Crime","A hit man is hired to kill a mob boss. After the deed is done, he and his driver are wanted dead by rival gangs who joined forces."
The Old Dark House,1963,"Comedy, Horror, Mystery","In England, an American car salesman ends-up spending a stormy night at the mysterious and deadly mansion of a client's family."
The Insomniac,1971,"Mystery, Thriller",An insomniac man who lives in a sterile urban environment has a strange waking dream one night in which he experiences a surreal adventure incorporating wild nature and sexual freedom.
The Crime Doctor's Warning,1945,"Crime, Mystery",The Crime Doctor must prove the innocence of an artist accused of murdering his model during one of his blackout spells.
Paris clandestin,1957,Crime,"Lucky, owner of the Les Naturistes nightclub, is organizing bets for the Longchamp races. Max, the tipster, is shot by Bramati, Luky's ex-partner. The Judicial Police investigate and must deal with the case tactfully to find the killer"
Chernobyl: Abyss,2021,"Action, Drama, History",A story about a heroic fireman who worked as one of Chernobyl liquidators.
Lake Placid,1999,"Action, Comedy, Horror","Three people attempt to stop a gigantic crocodile, who is terrorizing residents in Black Lake, Maine."
Gukga daepyo,2009,"Comedy, Drama, Sport",Five men go for the gold as members of Korea's national ski jumping team.
Kasaba,2016,"Action, Crime, Thriller","Rajan Zachariah, an Inspector of Police working in the Palakkad District on the Kerala-Karnataka border, investigates a murder case that is very important to him."
Big,1988,"Comedy, Drama, Fantasy","After wishing to be made big, a teenage boy wakes the next morning to find himself mysteriously in the body of an adult."
Wild Is the Wind,2022,"Crime, Drama","Racial tensions and corruption come to a head in a small, segregated town after the police find the body of a young Afrikaner girl in the bush."
The Black String,2018,"Horror, Mystery, Thriller","After a one-night stand with a mysterious and beautiful woman, Jonathan falls ill and starts to believe that he's the victim of a sinister supernatural plot."
Halloween Pussy Trap Kill! Kill!,2017,"Crime, Horror, Musical","Members of the all-girl punk rock band ""Kill, Pussy, Kill!"" must fight for their lives and attempt to outwit an unknown assailant after finding themselves trapped in a madman's maze."
Maybe I Do,2023,"Comedy, Romance","Michelle and Allen are in a relationship. They decide to invite their parents to finally meet about marriage. Turns out, the parents already know one another well, which leads to some differing opinions about marriage."
Dear Affy,2020,"Comedy, Romance",An engaged couple hit a number of speed bumps on their road to matrimony including major career complications and questions of fidelity.
Pippa,2016,"Action, Comedy","Pippa and Glenn are done after 5 years of marriage, they both wan't to divorce but can't seem to agree on the devision of everything."
The Marble Jaw,2009,Thriller,The survivor of a pistol duel is accidentally buried alive and must use all his wits to escape his prison.
Adeului shimpan,1960,"Crime, Drama","A mother learns of a plot against the life of her son, a prosecuting attorney. She decides to take pre-emptive action and kills the would-be murderer. Now she finds herself facing charges of premeditated murder."
Secret Obsession,2019,Thriller,"Recuperating from trauma, Jennifer remains in danger as she returns to a life she doesn't remember."
Zomboobies!,2014,"Comedy, Horror","While conducting experiments to create ""the perfect boobs"" a group of doctors are transformed into Evil Mutant Creatures with an unstoppable hunger for BOOBS."
The Story of Mary of Nazareth,2016,History,"What is really known about Jesus' mother? Does concrete historical proof exist of her life? Using theological, historical, literary, and archaeological sources, we will explore the fascinating universe that surrounds Mary of Nazareth."
Krishnashtami,2016,"Action, Comedy, Romance","Krishnashtami tells the story of an NRI who returns to India with a definite purpose. This romantic entertainer is told with large doses of comedy, romance and family values."
Playball,2008,"Comedy, Drama, Sport","A promising MLB player is forced to return to his country after being found to be using steroids, and the only option he gets to rebuild his life is joining a team of losers in the Dominican league."
Pocketman and Cargoboy,2018,"Adventure, Comedy, Sci-Fi",Teenage secret agents must travel to the past and stop an evil doctor from creating a virus that wipes out all life in the future.
Star Light,2020,Horror,A teen's life is turned upside down when he helps a world-famous pop star on the run to escape her violent pursuers.
Dukun Doktor Dani,2016,"Comedy, Drama, Romance","In Dukun Doktor Dani, 34-year-old Taufik plays the titular character. After losing a patient during an operation, an emotionally-distressed Dani quits the medical profession and retreats to his hometown."
Austenland,2013,"Comedy, Romance","Obsessed with Pride and Prejudice (1995), a woman travels to a Jane Austen theme park in search for her perfect gentleman."
Enbalming,1999,"Drama, Horror, Mystery","After the head of the corpse of a teenager she's restoring is stolen, an embalmer encounters the organ black market and a necrotomic religious cult."
Kill the Fatted Calf and Roast It,1970,"Drama, Thriller",When a young man named Enrico comes back home for his fathers funeral he discovers his brother Cesare and his sister Verde may be plotting his death.
Ssonda,2007,"Action, Comedy, Crime","After Park Man-su's wife asks for a divorce, the conservative salesman decides that he'll no longer play by the rules. Though a series of mishaps, Man-su becomes an unwitting fugitive from justice."
Dawn of America,1952,History,A dramatization of Christopher Columbus' voyage to the Americas.
Palace of Shame,1954,"Crime, Drama","After a performance at the Concert Mayol, a Parisian music hall, dancer Mado is poisoned with arsenic and transported to hospital, and survives. Immediately the rumors run behind the scene."
Ang biyenang hindi tumatawa,1954,"Comedy, Drama, Romance","When a mother-in-law SCOLDS--that's ordinary, GOSSIPS--that's understandable, DESPAIRS--that's bearable. But when a mother-in-law just won't laugh--WHAT A MISFORTUNE."
Misfit,2016,Horror,A young teenage girl is horribly picked on at school and at home. She is befriended by a homicidal killer who teaches her how to get even with her enemies by using torture.
The Filth Shop,1969,"Crime, Drama",A crime syndicate abducts young women and forces them into pornography.
Arunachalam,1997,"Action, Comedy, Drama","The movie revolves around Arunachalam (Rajini), who is the son of the VIP of a village who finds out about his past but destiny has its own play."
La page blanche,2022,"Comedy, Fantasy, Romance","Eloïse is sitting alone on a bench in Paris. She can't remember who she is, where she comes from or how did she get here. So, she begins a funny investigation on her life. This amnesia might help her finding love and reinventing her life."
A Match Made at Christmas,2021,"Comedy, Drama, Romance","Romantic, small-town girl Holly and realist, career-driven Chris aren't a likely pair, but when ""matched"" together by Holly's all-knowing great-aunt, they don't have much of a choice."
Sahapadi 1975,2016,Thriller,Sahapadi 1975 is an interesting campus love story set against the backdrop of politics
Struggling,1932,"Drama, Romance, War","A young Shanghai woman battles against the tyranny of her bullying father, with the help of a bookish neighbor."
Slave Girl,1947,"Action, Adventure, Comedy","An American adventurer goes to Tripoli to rescue some kidnapped sailors, but gets involved with a beautiful slave girl."
Grave Men,2020,"Crime, Drama, Thriller","As a 'bin man' for a London crime syndicate, Jimmy Trueman used to dump bodies in the night. As a witness protection member, he now leads an average life as 'Frank Wallace'. But his bloody past is about to catch up with him."
Mr. Bones,2007,"Drama, Family, Romance","When three children survive a bus crash that kills their parents, their childhood dies as well. Until they find an unlikely partner in grief at the shallow grave of a long lost child in the woods of a desolate park."
Intruder,1997,Horror,"A mainland Chinese girl is, with her husband, a wanted criminal and they have to get to Hong Kong in order to stay alive and be free."
Ice Scream,2016,"Drama, Thriller",A shy young man attempts to buy ice cream for his girlfriend when faced by two of the town's worst bullies. This is the beginning of a day he will never forget.
Letayushchiy korabl,1960,Fantasy,"Ukrainian folk tale. The hero of the story, Kotigoroschko sets off on an arduous journey to find his sister Olenka, who has been kidnapped by an evil dragon."
It Happened That Night,2021,Thriller,"Faced with responsibility of bringing the beast responsible for the murders, with one single suspect, who pleads innocent, Dalwai finds himself leaving no stones unturned in cracking the most complicated case of his service."
Money Movers,1978,"Crime, Drama, Thriller",An armoured car company is the target of repeated heists. Company leadership is enforcing new measures in order to tighten security. The biggest danger of a new heist lies from within the company's own ranks.
Ulkuthu,2017,Thriller,"Ulkuthu is set in a small coastal town which is ruled by Kaka Mani (Sharath Lohitashwa) and his brother Saravanan (Dhilip Subbarayan), loansharks who deal in blood and blows when their debtors don't pay on time."
Namukku Parkkan Munthiri Thoppukal,1986,Romance,A man falls in love with his new neighbor but then finds that her family life is difficult.
Të Mjerët,2013,"Crime, Drama, Thriller","A clash of two cultures, one primitive and the other exotic wild and cunning, but both of them with a violence and crime story, will face with each other in a house."
Rage and Honor II,1993,"Action, Crime, Drama","Kris and Preston team up once again to take on powerful gangster Buntao. But, Buntao has problems of his own, dealing with Dazo, another gangster who is on a steady rise to power."
The Adventures of Busty Brown,1967,"Crime, Drama","Large-breasted private eye Busty Brown is hired to rescue a kidnapped Asian girl, so she gets a job at a sleazy nightclub where she believes the owner is involved in the kidnapping."
Dziewczeta z Nowolipek,1986,"Drama, History, Romance",Coming of age story of four girls living in the same poor district of Warsaw just before the outbreak of World War One.
Badhai Ho Beti Huee Hai,2022,Family,This story is about journey of a girl who was rejected by society and her family since birth and later how she turned out to be a boon for society and her family.
The Dark Knight Rises,2012,"Action, Drama","Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane."
Skin Deep,1979,"Comedy, Romance",A group of teenagers are on holiday in the Aeolian islands.
Girlfriend,2019,Romance,"Nachiket is single and peer pressure to be in a relationship drives him to do something risky. But, does it land him in trouble or does it change his life for good?"
Primer,2004,"Drama, Sci-Fi, Thriller","Four friends/fledgling entrepreneurs, knowing that there's something bigger and more innovative than the different error-checking devices they've built, wrestle over their new invention."
Some May Live,1967,"Drama, Thriller, War",During the Vietnam War U.S. decoder Kate Meredith is plagued with guilt when her correspondent husband coerces her to pass information to him and the Viet Cong.
Knuckle Jack,2014,"Crime, Drama","When a small town foul-mouthed drunk with an artistic gift for thievery is entrusted with his young niece for the summer, the question is not if he is ready for the task at hand-- but is she?"
Reaper,2014,Fantasy,A wrongfully accused fugitive is chosen by the Angel of Death to become a Grim Reaper.
Cantinflas,2014,"Biography, Comedy, Drama","The untold story of Mexico's greatest and most beloved comedy film star of all time, from his humble origins on the small stage to the bright lights of Hollywood."
Text,2019,"Drama, Thriller","College student Ilya spends 7 years in prison on a fake drug bust. Coming out, he wants revenge on the dirty cop, Pyotr. He gets Pyotr's smartphone filled with personal info and starts texting - pretending to be Pyotr."
