movie_name,year,genre,description
The Diary of an Innocent Boy,1968,"Comedy, Romance","Young innocent aristocrat Benjamin comes to live with his Countess aunt. Her lover teaches him the techniques of seduction and sends him to test them, first on the maids, then on the upper class Anne and finally on the countess herself."
Imo,2018,Fantasy,"Three women revisit their memories and within the realms of this place, ruled by their past anguish, they catch a glimpse of possible reactions they could have had when under oppression."
Zombie Dream,2014,Horror,Actor Eric Roberts stops an interview to recount a horrific nightmare he'd experienced earlier in the day. We enter the nightmare.
Nick the Geek,2010,"Comedy, Fantasy, Horror","Nick is a student who moves to a new place to study for his exams. Unfortunately his roommates give him hell but he always manages to forgive them after a visit from Jesus Christ, Virgin Mary and God in his sleep..Until one day he snaps."
Voir la mer,2011,"Comedy, Drama, Romance","Two brothers go on a summer vacation to visit their mother in Saint-Jean-de-Luz. The plan was to go alone on a brothers' road trip across France, but a charming young woman crosses their path."
"Death, Deceit & Destiny Aboard the Orient Express",2001,"Action, Thriller","On New Year's Eve, jaded action movie star Jack Chase is traveling on the Orient Express with the rich and famous. Terrorist leader Tarik and his gang take over the train forcing Chase to become the hero he always just pretended to be."
Los Flamencos,2013,"Adventure, Comedy",Three small time criminal brothers plan a final heist before they are too old to do so.
Faro,2013,"Adventure, Drama",The police are pursuing a man wanted for murder. If the man is arrested his daughter will be placed in foster care. To stay free they escape into the wilderness. Faro refers to a Portuguese city that the father once visited.
Sunset Society,2018,Horror,"Ace (Motorhead's Lemmy Kilmister) is the head of the Sunset Society - a secret vampire organization that hosts the best parties in Hollywood. Even as the blood flows freely, the club will do anything to keep their existence a secret."
King of the Congo,1952,Adventure,An Air Force captain is assigned to find some missing top-secret microfilm.
Mockingbird,2014,"Horror, Thriller",A couple are given a camera and a set of instructions which they must follow or else someone will die.
L'invité surprise,1989,"Action, Comedy, Crime","During the broadcast of a live game show, a surprise guest is shot by an armed assassin.The victim, Martin Gaillard, recounts the bizarre series of events that led to this extraordinary denouement."
Premier de cordée,1944,"Adventure, Drama","Zian Servettaz is a dedicated mountain man. His Italian-born wife Bianca does not adjust well to his mountain village in France, and to the ever life-threatening dangers presented by his mountain guiding and climbing."
Six: The Mark Unleashed,2004,"Action, Drama, Sci-Fi","In the last days before Armaggeddon, three men must make one eternal choice: receive the mark of the devil or stand for Christ. This movie will make you think about your own life choices."
The Blonde Bandit,1949,"Action, Crime, Drama","Newly arrived in a Western city, Kansan Gloria Dell waits at the train station to meet Larry Goodrich, the fiance' she has corresponded with, but never met. When he doesn't arrive, Mrs. ...                See full synopsis »"
Callas Forever,2002,"Biography, Drama, Music",The last days of legendary opera singer Maria Callas.
Vidya Vasula Aham,2023,"Comedy, Romance","Two independent ego-centric couple, Vidya and Vasu. Their love journey begins after the wedding, arranged by their parents. But when Ego is more important than a relationship, it's hard to sail."
Atone,2019,Action,"Former special ops soldier, Laura Bishop, shows up for work at the largest church in America and is forced to take down a team of hijackers when she learns her daughter is trapped inside."
The Count of the Old Town,1935,"Comedy, Romance","In one of the narrow streets of the Old town of Stockholm lies hotel City. It's inhabited by mysterious characters such as 'Greven', 'Blomman' and others. The police inspector Göransson is chasing a jewel thief, 'Diamond-Lasse'."
Sun Kissed,2006,"Drama, Romance","Teddy, a young writer, ventures to an isolated desert house to complete his first novel, where he meets and seduces the mysterious caretaker, Leo. Layers of memory and hallucination unfold that intertwine the two men."
Project Nightmare,1987,"Horror, Sci-Fi, Thriller","Two men in a deserted area without knowing how they got there, are trying to escape from an unknown force that pursues them. They soon discover that a secret government experiment is responsible for their situation."
Joshua Tree,1993,"Action, Adventure, Crime",A framed prison escapee unknowingly kidnaps a female cop en-route to a rendezvous with the corrupt cop who put him behind bars.
Wither,2012,"Horror, Thriller",Ida and Albin are a happy couple. They set off to a cabin in the vast Swedish woodlands to have a fun holiday with their friends. But under the floorboards waits an evil from Sweden's dark past.
Genome,2017,Sci-Fi,"When Canyon discovers a mysterious device in the desert, he activates it, uncovering its secrets and the dangers that are brought with it."
Older,2020,"Drama, Romance","Older is a drama/romance about sex, love, relationships, growing up and how our nostalgic attachment to the past can colour our perception of the present, sometimes for the worse."
13 West Street,1962,"Crime, Drama",An aerospace engineer (Ladd) ignores a policeman (Steiger) and hunts down a gang of juvenile delinquents.
Dear Nathan: Thank You Salma,2022,"Drama, Romance",Nathan and Salma enter the world of social activism. Salma chooses to express himself digitally while Nathan chooses to take to the streets. This difference sparked a big fight when Nathan is involved in a big riot at a demonstration.
Boring Love,2009,"Comedy, Drama, Romance","Ped loses his girlfriend and is heartbroken. He begins a new job and meets Oiy who confesses his love to him. Oiy is a male co-worker and Ped rejects him, not being gay. As time goes by a reluctant affection toward Oiy slowly develops."
Lucky Partners,1940,"Comedy, Drama, Romance","Two strangers share a sweepstakes ticket and then embark on an ""imaginary"" honeymoon with their ""winnings""."
Stained,2010,Thriller,"An intense thriller about a lonely bookseller's obsessive love affair, and her protective best friend, who alone knows the horrible truth about her obsession."
Infinity & Chashu Ramen,2013,"Comedy, Fantasy, Romance",Two spirits link the lives of dozens of residents of San Francisco's Japantown as told through a series of six interwoven vignettes.
It Takes a Thief,1960,"Crime, Drama, Thriller","A gang leader dumps her criminal boyfriend when he is convicted of robbery, but he recovers the stolen loot once he's released. In retaliation, the gang kidnaps his son and demands the money as ransom."
Christmas Hear Kids,2013,"Drama, Horror, Thriller",A taxi driver finds out the woman in the back of his cab is out for revenge against the man that abused her as a child: him.
Flight for Freedom,1943,"Drama, Music, Romance","The life of air pioneer Amelia Earhart is here given a fictionalized treatment, with a speculative conclusion."
Romeo.Juliet,1990,"Drama, Romance",The tale centers on an eccentric bag lady who rescues the stray cats of Venice and puts them on a boat to set sail for the New World.
"Veni, vidi, vici",2009,"Comedy, Drama, Romance","A young boy named Honza is a bad student, but becomes a promising golfer and experiences the sweet life in the spotlight. But he almost loses not only his girl but also himself in the process."
